Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Rajan Mittal,64.0,$6B,Telecom,Telecom,Vice Chairman and Managing Director,Bharti Enterprises,False,,,"Delhi, India",India,M,Married,,"Bachelor of Arts/Science, Punjab University"
Chang Pyung-soon,73.0,$1B,Service,educational services,Chairperson,Kyowon Group,True,,,"Seoul, South Korea",South Korea,M,Married,2.0,"Bachelor of Arts/Science, Yonsei University"
Vivek Jain,68.0,$4B,Manufacturing,Chemicals,"chairman , businessman","InoxGFL grou, chemicals and renewable energy",False,,,"Delhi, India",India,M,Married,2.0,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Science, St Stephen's College (India)"
Stefan Olsson,75.0,$1.9B,Diversified,Diversified,"founder, businessman",Stena Sphere,False,,,"London, United Kingdom",Sweden,M,Married,,
Alec Gores,71.0,$2.2B,Finance & Investments,Private equity,"Founder, Chairman, and CEO",The Gores Group,True,9.0,1.0,"Beverly Hills, California",United States,M,Married,6.0,"Bachelor of Arts/Science, Western Michigan University"
Spiro Latsis & family,77.0,$2.2B,Diversified,"Banking, shipping",Chairman,Latsis Group,False,,,"Geneva, Switzerland",Greece,M,Married,2.0,"Bachelor of Arts/Economics, London School of Economics; Master, London School of Economics; Doctorate, London School of Economics"
Eyal Ofer,73.0,$24B,Diversified,"Real estate, shipping",Chairman,Zodiac Maritime,False,,,"Monte Carlo, Monaco",Israel,M,Married,4.0,
Daniel Hunt & family,47.0,$1.4B,Sports,Kansas City Chiefs,owner,NFL's Kansas City,False,,,"Dallas, Texas",United States,M,,,"Bachelor of Science, Southern Methodist University"
Bulent Eczacibasi,74.0,$1.5B,Diversified,"Pharmaceuticals, diversified","directors, Chairman",Istanbul Foundation for Culture and Arts,False,,,"Istanbul, Turkey",Turkey,M,Married,2.0,"Bachelor of Arts/Science, Imperial College London; Master of Science, Massachusetts Institute of Technology"
Alice Walton,74.0,$72.3B,Fashion & Retail,Walmart,Philanthropist,Crystal Bridges Museum of American Art,False,1.0,2.0,"Fort Worth, Texas",United States,F,Divorced,,"Bachelor of Arts/Science, Trinity University"
He Zuxun,58.0,$1.1B,Food & Beverage,Pig breeding,chairs,Yunnan Shennong Agriculture Industry,True,,,"Kunming, China",China,M,,,
Hu Kaijun,62.0,$2.5B,Healthcare,Pharmaceuticals,Grand Enterprises,"interests span healthcare, real estate, agriculture and financial services",True,,,"Beijing, China",China,M,,,
Irving Grousbeck & family,89.0,$1.8B,Sports,"Telecommunication, sports",co-owner,National Basketball Association,True,,,"Portola Valley, California",United States,M,,4.0,"Bachelor of Arts, Amherst College; Master of Business Administration, Harvard University"
Vadim Novinsky,60.0,$1.2B,Metals & Mining,Steel,"priest , former, politician",Armenian descent,True,,,"Kiev, Ukraine",Ukraine,M,Married,3.0,"Bachelor of Arts/Science, Academy of Civil Aviation (Leningrad)"
Brian Roberts,64.0,$2B,Media & Entertainment,Comcast,CEO,Comcast,False,,,"Philadelphia, Pennsylvania",United States,M,Married,3.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Giorgio Perfetti,57.0,$3.4B,Food & Beverage,Candy,"businessman, own",Perfetti Van Melle,False,,,"Lugano, Switzerland",Italy,M,,,
Michaela Herz,,$1.1B,Finance & Investments,Coffee,invester,sports apparel company Puma,False,,,"Hamburg, Germany",Germany,F,,,
Eren Ozmen,65.0,$3.7B,Manufacturing,Aerospace,"businesswoman, and the majority co-owner and president",Sierra Nevada Corporation.,True,9.0,1.0,"Reno, Nevada",United States,F,Married,2.0,"Master of Business Administration, University of Nevada at Reno"
Sukanto Tanoto,74.0,$3.1B,Diversified,Diversified,"businessman, primarily involved, Chairperson","reso, Royal Golden Eagle, urces-based manufacturing",True,,,"Singapore, Singapore",Indonesia,M,Married,4.0,
Jim McKelvey,58.0,$1.8B,Technology,Mobile payments,"businessman, co-founder","Block, Inc",True,8.0,1.0,"St. Louis, Missouri",United States,M,Married,2.0,"Bachelor of Arts/Economics, Washington University in St. Louis; Bachelor of Science, Washington University in St. Louis"
Robert Mouawad,79.0,$1.5B,Service,Fine jewelry,,,False,,,"Manama, Bahrain",Lebanon,M,Married,3.0,
Prasert Prasarttong-Osoth,91.0,$3.7B,Healthcare,"Hospitals, airline","businessman of Chinese descent, former surgeon, and the founder and owner",Bangkok Dusit Medical Services,True,,,"Bangkok, Thailand",Thailand,M,Married,5.0,"Bachelor of Science, Mahidol University"
Xie Liangzhi & family,58.0,$2.5B,Healthcare,Biotech,"President, CEO",Sino Biological Inc,True,,,"Beijing, China",China,M,Married,,"Doctorate, Massachusetts Institute of Technology"
Chen Qiongxiang,,$1.3B,Energy,Batteries,,,True,,,"Ningde, China",China,F,,,
Ralph Dommermuth,60.0,$2.6B,Technology,Internet service provider,"businessman, the founder, chairman and CEO",United Internet,True,,,"Montabaur, Germany",Germany,M,Married,1.0,
Ajay Jaisinghani,72.0,$1.6B,Manufacturing,Wires and cables,,,False,,,"Mumbai, India",India,M,Married,3.0,
Bulat Utemuratov,66.0,$2.7B,Metals & Mining,"Mining, banking, hotels","businessman, public figure, diplomat and philanthropist","Verny Capital, ATFBank Joint Stock Company",True,,,"Nur-Sultan, Kazakhstan",Kazakhstan,M,Married,3.0,"Bachelor of Science, Narxoz University"
Alfredo Harp Helu & family,80.0,$1.2B,Finance & Investments,"Banking, investments",Businessman,,True,,,"Mexico City, Mexico",Mexico,M,Married,4.0,"Bachelor of Science, National Autonomous University of Mexico"
Marcos Galperin,52.0,$6.3B,Technology,E-commerce,Founder and CEO,MercadoLibre,True,8.0,,"Buenos Aires, Argentina",Argentina,M,,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Wu Chung-yi,68.0,$1.3B,Manufacturing,Manufacturing,Chairman,Fine Blanking,False,,,"Chang Hwa County, Taiwan",Taiwan,M,,,"University of California, Los Angeles"
"John Menard, Jr.",84.0,$25.2B,Fashion & Retail,Home improvement stores,Founder,"Menard, Inc.",True,9.0,1.0,"Eau Claire, Wisconsin",United States,M,Married,6.0,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
Tianqiao Chen,50.0,$1B,Technology,Online games,Chinese businessman,,True,,,"Atherton, California",China,M,Married,2.0,"Bachelor of Arts/Science, Fudan University"
Sergei Studennikov & family,57.0,$3.2B,Fashion & Retail,"Liquor stores, supermarkets","businessman, Founder and owner",Red&White,True,,,"Moscow, Russia",Russia,M,Married,4.0,"Bachelor of Technology, Satka Mining and Ceramics College"
Forrest Li,46.0,$3.6B,Media & Entertainment,Gaming,"businessman,founder, chairman and chief executive officer",Sea Limited,True,,,"Singapore, Singapore",Singapore,M,Married,,"Bachelor of Engineering, Shanghai Jiaotong University; Master of Business Administration, Stanford Graduate School of Business"
Mao Zhongwu,61.0,$1.1B,Manufacturing,Manufacturing,Chinese skier,,True,,,"Changsha, China",China,M,Married,,"Bachelor of Arts/Science, National University of Singapore"
Shyam Bhartia,71.0,$1.5B,Healthcare,"Pharmaceuticals, food","Founder , Chairman",Jubilant Bhartia Group,False,,,"Delhi, India",India,M,Married,2.0,"Bachelor of Commerce, St. Xavier's College, Calcutta University"
Shashishekar Pandit,74.0,$1.2B,Technology,Software,cofounder and chairman,KPIT Technologies,True,,,"Pune, India",India,M,Married,2.0,"Master, Massachusetts Institute of Technology (MIT)"
Finn Rausing,69.0,$7.2B,Food & Beverage,Packaging,Co-Owner,Tetra Laval,False,,,"London, United Kingdom",Sweden,M,,,"Bachelor of Laws, Lund University, Master of Business Administration, INSEAD"
Ilona Herlin,59.0,$1.8B,Manufacturing,"Elevators, escalators",training and an associate professor,Helsinki University,False,,,"Helsinki, Finland",Finland,F,Married,,"Master of Arts, University of Helsinki, Doctor of Philosophy, University of Helsinki"
Ales Zavoral,47.0,$2B,Fashion & Retail,E-commerce,Businessperson,,True,,,,Czech Republic,M,Divorced,4.0,
Carlos Hank Rhon & family,76.0,$4.4B,Diversified,Banking,"businessman, owns",diversified Grupo Hermes,False,,,"Mexico City, Mexico",Mexico,M,Married,3.0,"Bachelor of Science in Engineering, Universidad Nacional Autonoma de Mexico"
Mustafa Kucuk,60.0,$2B,Fashion & Retail,Fashion retail,CEO,Tema Group,True,,,"Istanbul, Turkey",Turkey,M,Married,3.0,
Sanjit Biswas,42.0,$4.6B,Technology,Sensor systems,CEO and Co-founder,Samsara,True,8.0,,"San Francisco, California",United States,M,Married,3.0,"Master of Science, Massachusetts Institute of Technology; Bachelor of Science, Stanford University"
Min-Liang Tan,46.0,$1.3B,Media & Entertainment,gaming,Co-founder,Razer Inc.,True,,,"Singapore, Singapore",Singapore,M,,,"Master of Laws, National University of Singapore"
Li Xiang,42.0,$8.4B,Automotive,Electric vehicles,Founder,Li Auto,True,,,"Beijing, China",China,M,,,"Bachelor of Science, Peking University"
Leonid Fedun,68.0,$10.5B,Energy,Oil,Co-founder,Lukoil,True,,,"Moscow, Russia",Russia,M,Married,2.0,"Master of Science, Military Academy F.E.Dzerzhinsky"
Koos Bekker,71.0,$2.6B,Media & Entertainment,"Media, investments","businessman, chairman",media group Naspers,True,,,"Cape Town, South Africa",South Africa,M,Married,2.0,"Master of Business Administration, Columbia Business School; Bachelor of Laws, University of Witwatersrand"
Chey Tae-won,63.0,$1.5B,Technology,"Oil, semiconductor",Chairperson,SK Group,False,,,"Seoul, South Korea",South Korea,M,Divorced,4.0,"Bachelor of Arts/Science, Korea University; Master of Science, University of Chicago"
Axel Stawski,73.0,$1B,Real Estate,Real estate,American investor,,True,,,"Sagaponack, New York",United States,M,Married,,"Doctorate, New York University"
Liesel Pritzker Simmons,40.0,$1.5B,Diversified,"Hotels, investments",actress,,False,,,"Concord, Massachusetts",United States,F,Single,,"Bachelor of Arts, Columbia University"
"H. Ross Perot, Jr.",65.0,$3.7B,Real Estate,Real estate,real estate developer and businessman,Alliance,False,4.0,2.0,"Dallas, Texas",United States,M,Married,4.0,"Bachelor of Arts/Science, Vanderbilt University"
Ajay Parekh,66.0,$2.4B,Manufacturing,Adhesives,Executive Director,Pidilite Industries,False,,,"Mumbai, India",India,M,Married,2.0,
Bill Gross,79.0,$1.7B,Finance & Investments,Investments,Co-founder and Co-Chief Investment Officer,Pacific Investment Management Company LLC,True,8.0,,"Laguna Beach, California",United States,M,Divorced,3.0,"Master of Business Administration, Anderson School of Management; Bachelor of Arts/Science, Duke University"
Leonard Abess,75.0,$2.3B,Finance & Investments,Banking,"banker, businessman, former owner , former director of the Miami Branch","City National Bank, Federal Reserve Bank",False,,,"Miami, Florida",United States,M,,,"Bachelor of Science, The Wharton School of the University of Pennsylvania"
Ye Chenghai & family,80.0,$2.4B,Healthcare,Pharmaceuticals,businessman and former politician,Shenzhen Salubris Pharmaceuticals,True,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,2.0,"Bachelor of Arts/Science, Renmin University of China"
Donald Newhouse,94.0,$11B,Media & Entertainment,Media,Owner,Advance Publications,False,5.0,2.0,"New York, New York",United States,M,Widowed,3.0,"Drop Out, Syracuse University"
Timothy Boyle,74.0,$2.2B,Fashion & Retail,Columbia Sportswear,"Chairman, President, and CEO",Columbia Sportswear Company,True,5.0,1.0,"Portland, Oregon",United States,M,Married,2.0,"Bachelor of Arts/Science, University of Oregon"
Paul Singer,79.0,$6.1B,Finance & Investments,Hedge funds,Investor,Elliott Management,True,8.0,2.0,"New York, New York",United States,M,In Relationship,2.0,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester"
Wim van der Leegte & family,76.0,$3.6B,Manufacturing,Manufacturing,"businessman, owner",VDL Groep,False,,,"Eindhoven, Netherlands",Netherlands,M,Married,3.0,
Jean-Michel Besnier,56.0,$8.9B,Food & Beverage,Cheese,Shareholder,Lactalis,False,,,"Laval, France",France,M,,,
Barry Zekelman,57.0,$3.4B,Manufacturing,Steel,responsible for all aspects of business,Zekelman Industries,False,,,"Windsor, Canada",Canada,M,,,"Drop Out, York University"
Patrice Motsepe,62.0,$2.7B,Metals & Mining,Mining,"businessman and football administrator, president",Confederation of African Football.,True,,,"Johannesburg, South Africa",South Africa,M,Married,3.0,"Bachelor of Arts, University of Swaziland, Bachelor of Laws, University of the Witwatersrand"
Jimmy John Liautaud,60.0,$2.4B,Food & Beverage,Sandwich chain,"restaurateur, founder and former chairman",Jimmy John's sandwich chain,True,9.0,,"Key Largo, Florida",United States,M,Married,3.0,"High School Graduate, High School"
Robert Bass,76.0,$5.3B,Energy,"Oil, investments","businessman and philanthropist, chairman",Aerion Corporation,False,4.0,2.0,"Fort Worth, Texas",United States,M,Married,4.0,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
Joesley Batista,52.0,$3.3B,Food & Beverage,Beef processing,"businessman, responsible for the expansion and internationalization process",JBS S.A,False,,,"Sao Paulo, Brazil",Brazil,M,Married,4.0,
"Andre Koo, Sr.",56.0,$5.2B,Finance & Investments,Financial services,"businessman, Founder and General Partner",K8 Capital,False,,,"Taipei, Taiwan",Taiwan,M,Married,2.0,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
Alice Schwartz,97.0,$2.5B,Healthcare,Biotech,businesswoman,Bio-Rad Laboratories,True,8.0,,"El Cerrito, California",United States,F,Widowed,2.0,"Bachelor of Arts/Science, University of California, Berkeley"
"Richard Yuengling, Jr. & family",81.0,$1B,Food & Beverage,Beer,,,False,5.0,,"Pottsville, Pennsylvania",United States,M,Divorced,4.0,"Drop Out, Lycoming College"
Qiu Wensheng,51.0,$1.9B,Manufacturing,Manufacturing,"co-founded, CEO",Huaqin,True,,,"Shanghai, China",China,M,,,"Bachelor of Science, Tsinghua University"
Friedrich Knapp,72.0,$4.7B,Fashion & Retail,Fashion retail,Owner,New Yorker,True,,,"Brunswick, Germany",Germany,M,Married,3.0,
Kenneth Hao,55.0,$2.3B,Finance & Investments,Private equity,Chairman,Silver Lake,True,,,"Hillsborough, California",United States,M,,,"Bachelor of Arts, Harvard College"
Nadir Godrej,73.0,$3.8B,Diversified,"Consumer goods, real estate",Chairman and Managing Director,Godrej Industries,False,,,"Mumbai, India",India,M,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Massachusetts Institute of Technology; Master of Science in Engineering, Stanford University"
Dmitry Rybolovlev & family,57.0,$6.4B,Manufacturing,Fertilizer,Chairman,Uralkali,True,,,"Monaco, Monaco",Russia,M,Divorced,2.0,"Medical Doctor, Perm Medical Institute"
Evgeny (Eugene) Shvidler,60.0,$1.6B,Metals & Mining,"Metals, investments",businessman,,True,,,"London, United Kingdom",United States,M,Married,5.0,"Master of Business Administration, Fordham University; Master of Science, Gubkin Institute of Petrochemicals and Natural Gas"
Haluk Bayraktar,45.0,$1.1B,Technology,Military drones,CEO,Baykar Defense,False,,,"Istanbul, Turkey",Turkey,M,,,"Bachelor of Science, Middle East Technical University, Master of Science, Columbia University"
Kwek Leng Peck,68.0,$1.4B,Diversified,Diversified,director,Developments Limited,False,,,"Singapore, Singapore",Singapore,M,Married,,
Nancy Lerner,63.0,$1.2B,Finance & Investments,"Banking, credit cards",owner,"Al Lerner (d. 2002),",False,,,"Cleveland, Ohio",United States,F,Married,5.0,"Doctor of Jurisprudence, Cleveland State University; Bachelor of Arts/Science, University of Cincinnati"
Candido Pinheiro Koren de Lima & family,77.0,$2.3B,Healthcare,"hospitals, health insurance",Owner,Antonio Prudente Clinic,True,,,"Fortaleza, Brazil",Brazil,M,Married,2.0,"Bachelor of Science, Universidade Estadual do Ceará"
Guy Laliberté,64.0,$1.2B,Media & Entertainment,Cirque du Soleil,Co-founder and CEO,Cirque du Soleil,True,,,"Montreal, Canada",Canada,M,In Relationship,5.0,
Piero Ferrari,78.0,$8.6B,Automotive,Automobiles,Vice chairman,Ferrari,False,,,"Modena, Italy",Italy,M,Divorced,1.0,"Bachelor of Science, Fermo Corni Institute, Honorary Doctorate, University of Naples Federico II"
Richard Tsai,66.0,$5.2B,Finance & Investments,Finance,"businessman, investors","Fubon Financial , Taiwan Mobile",False,,,"Taipei, Taiwan",Taiwan,M,Married,2.0,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University"
Xu Zhihan,51.0,$1.4B,Technology,Electronics,chairman,"Maxscend Microelectronics,",True,,,"Wuxi, China",China,M,,,"EMBA, China Europe International Business School"
"B. Wayne Hughes, Jr.",64.0,$2.1B,Real Estate,Storage facilities,"businessman and philanthropist, founded, member of the Board","Commercial Equities, Trustees of Public Storage",False,,,"Jackson, Wyoming",United States,M,Married,,"Bachelor of Arts/Science, University of Southern California"
Yadu Hari Dalmia & family,76.0,$2.7B,Manufacturing,Cement,Non-Executive Director,Dalmia Bharat Limited,False,,,"Delhi, India",India,M,Married,2.0,"Bachelor of Commerce, Delhi University; Chartered Accountant, Institute of Chartered Accountants of India"
Eugene Wu,78.0,$1.1B,Finance & Investments,Finance,Computer science researcher,,False,,,"Taipei, Taiwan",Taiwan,M,Married,3.0,Waseda University
Frank Lowy,93.0,$6.5B,Finance & Investments,Investments,Founder,Lowy Institute,True,,,"Tel Aviv, Israel",Australia,M,Widowed,3.0,
Michael Moritz,69.0,$5.6B,Finance & Investments,Venture capital,Investor,Sequoia,True,8.0,4.0,"San Francisco, California",United States,M,Married,2.0,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School"
Robert Sands,65.0,$3.2B,Food & Beverage,Liquor,"businessman, executive chair , former CEO",Constellation Brands,False,4.0,1.0,"Delray Beach, Florida",United States,M,Married,,"Law Degree, Pace University; Bachelor of Arts/Science, Skidmore College"
Wichai Thongtang,77.0,$2.1B,Finance & Investments,Investments,Lawyer-turned-investor,Bangkok Dusit Medical Services,True,,,"Bangkok, Thailand",Thailand,M,Widowed,4.0,"Bachelor of Law, Thammasat University, Master of Political Science, Thammasat University"
Seth Klarman,66.0,$1.3B,Finance & Investments,Investments,Investor,Baupost Group,True,,,"Chestnut Hill, Massachusetts",United States,M,Married,,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Harvard University"
John Fish,64.0,$2.3B,Construction & Engineering,Construction,CEO and chairman,Suffolk construction company,True,,,"Boston, Massachusetts",United States,M,Married,3.0,"Bachelor of Arts, Bowdoin College"
David Duffield,83.0,$14.1B,Technology,Business software,Chairman and Co-founder,Workday,True,8.0,3.0,"Incline Village, Nevada",United States,M,Married,10.0,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
Igor Makarov,61.0,$2.1B,Energy,Investments,President,ARETI International Group,True,,,"Miami, Florida",Cyprus,M,Married,2.0,"Bachelor of Arts/Science, Turkmen State University"
Peter-Alexander Wacker,72.0,$1.1B,Manufacturing,Chemicals,"Chairman, owns around 10%",Wacker Chemie AG,False,,,"Starnberg, Germany",Germany,M,,,"Doctorate in Political Science, University of Munich"
Wei Yin-Heng,65.0,$1.8B,Food & Beverage,"Food, beverages",businessman,Taiwanese,True,,,"Shanghai, China",Taiwan,M,Married,2.0,
Ashok Kajaria,76.0,$1.2B,Manufacturing,Tiles,Managing director,Kajaria Ceramics,True,,,"Delhi, India",India,M,Married,2.0,"Bachelor of Science in Engineering, UCLA"
Duke Reyes,67.0,$1.9B,Food & Beverage,Beer distribution,CEO,Reyes Holdings,False,,,"Palm Beach, Florida",United States,M,Married,,
Bob Muglia,64.0,$1.1B,Technology,software,"Former CEO, business executive and research and development specialist",,True,,,"Mercer Island, Washington",United States,M,Married,1.0,"Bachelor of Science, University of Michigan"
Doug Meijer & family,70.0,$5.5B,Fashion & Retail,Supermarkets,Co-chairman,Meijer,False,3.0,2.0,"Grand Rapids, Michigan",United States,M,Divorced,1.0,"Bachelor of Arts/Science, University of Michigan"
Gavril Yushvaev & family,66.0,$1.9B,Finance & Investments,"Precious metals, real estate",founder,"Wimm Bill Dann, Polyus Gold",True,,,Israel,Russia,M,Married,7.0,
Sanjeev Bikhchandani,60.0,$2.6B,Technology,Internet,"businessman, founder and executive vice chairman, co-founder","Info Edge , Ashoka University",True,,,"Delhi, India",India,M,Married,2.0,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Economics, St Stephen's College (India)"
Liang Qin & family,52.0,$1.2B,Technology,Semiconductor devices,chairman,yangzhou Yangjie Electronic Technology,True,,,"Yangzhou, China",China,F,Married,,College degree
Torbjorn Tornqvist,70.0,$5.4B,Energy,Oil trading,CEO and co-founder,Gunvor,True,,,"Geneva, Switzerland",Sweden,M,,,"Graduate, Stockholm University"
M.A. Yusuff Ali,68.0,$7.6B,Fashion & Retail,Retail,Chairman,LuLu Group International,True,,,"Abu Dhabi, United Arab Emirates",India,M,Married,3.0,"Diploma in Business Management, Kerala"
Diane Hendricks,77.0,$20.9B,Construction & Engineering,Building supplies,Co-founder,ABC Supply,True,9.0,1.0,"Afton, Wisconsin",United States,F,Widowed,7.0,"Diploma, High School"
Luo Yuhao,,$1.7B,Technology,Mobile gaming,vice president,Shanghai-based online games developer miHoYo,True,,,"Shanghai, China",China,M,,,"Bachelor of Science, Shanghai Jiao Tong University"
Sara George Muthoot,63.0,$1.3B,Finance & Investments,Financial services,director,,False,,,"Delhi, India",India,F,Widowed,3.0,"Bachelor of Science, University of Kerala; Master of Science, University of Kerala"
God Nisanov,51.0,$2.9B,Real Estate,Real estate,"property developer, co-owner",Kievskaya Ploshchad,True,,,"Moscow, Russia",Russia,M,Married,4.0,"Diploma, Baku Institute of Law"
"Roy Carroll, II.",61.0,$2.6B,Real Estate,Real estate,"Founder, President, and CEO",Carroll Companies,True,,,"Greensboro, North Carolina",United States,M,Married,3.0,"Drop Out, University of North Carolina at Greensboro"
Luigi Cremonini & family,84.0,$1B,Food & Beverage,meat processing,"Italian businessman, chairman",,True,,,"Modena, Italy",Italy,M,Married,4.0,
James Peng,,$1B,Technology,Technology,"CEO, co-founder",Pony.ai,True,,,"Shanghai, China",China,M,,,"Bachelor of Science, Tsinghua University, Master of Science, State University of New York at Buffalo, Doctor of Philosophy, Stanford University"
Jim Coulter,64.0,$4.5B,Finance & Investments,Private equity,Co-founder,private equity firm TPG Inc,True,7.0,1.0,"San Francisco, California",United States,M,Married,3.0,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University"
Karl Knauf,,$1.3B,Manufacturing,Building materials,producers,"building materials and systems,",False,,,"Iphofen, Germany",Germany,M,,,
Massimiliana Landini Aleotti & family,81.0,$7.6B,Healthcare,Pharmaceuticals,Chairman,Menarini,False,,,"Fiesole, Italy",Italy,F,Widowed,2.0,
Kei Hoi Pang,58.0,$2.5B,Real Estate,Real estate,chairman and CEO,Logan Property Holdings,True,,,"Hong Kong, Hong Kong",China,M,Married,1.0,
Eduardo Costantini,77.0,$1.4B,Real Estate,Real estate,"founder , chairman",Museum of Latin American Art of Buenos Aires (MALBA).,True,,,"Buenos Aires, Argentina",Argentina,M,Married,7.0,"Bachelor of Economics, Pontifical Catholic University of Argentina, Master of Arts in Quantitative Economics, University of East Anglia"
Elisabeth Douglas,82.0,$1.6B,Diversified,Investments,,,False,1.0,,"Stockholm, Sweden",Sweden,F,Widowed,2.0,
Julia Thiele-Schuerhoff,52.0,$3B,Manufacturing,"Brakes, investments","founded, non-profit association, chaired, member of the Supervisory Board","Knorr-Bremse Global Care e. V, Knorr-Bremse AG, Heinz Hermann Thiele Family Foundation",False,,,"Munich, Germany",Germany,F,Married,,"Graduate Degree, Ludwig-Maximilians-Universität München"
Charlwin Mao,,$1.3B,Fashion & Retail,E-commerce,CEO,Xiaohongshu,True,,,"Shanghai, China",China,M,,,"Bachelor of Science, Shanghai Jiao Tong University, Master of Business Administration, Stanford Graduate School of Business"
Vadim Moshkovich,57.0,$2.7B,Food & Beverage,"Agriculture, land",Founder,Rusagro Group,True,,,"Moscow, Russia",Russia,M,Married,3.0,"Bachelor of Arts/Science, Moscow Institute of Radioengineering, Electronics and Automation"
Motilal Oswal,61.0,$1.1B,Finance & Investments,Financial services,"businessman, Cofounder",Raamdeo Agrawal,True,,,"Mumbai, India",India,M,Married,2.0,"Chartered Accountant, Institute of Chartered Accountants of India"
Liu Fangyi,,$1.1B,Healthcare,Medical equipment,chairman and founder,Shenzhen-listed Intco Medical Technology,True,,,"Shanghai, China",China,M,Married,,
Joel Greenberg,66.0,$1.3B,Finance & Investments,"Trading, investments","politician , former",tax collector of Seminole County,True,,,"Gladwyne, Pennsylvania",United States,M,Married,3.0,
Alexandre Behring,57.0,$6.3B,Finance & Investments,Investments,Co-Founder,3G Capital,True,,,"Greenwich, Connecticut",Brazil,M,Married,,"Master of Business Administration, Harvard University"
Rodger Riney & family,78.0,$3.6B,Finance & Investments,Discount brokerage,Co-founder,Scottrade,True,7.0,2.0,"St. Louis, Missouri",United States,M,Married,3.0,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri"
Ji Qi,57.0,$2.8B,Real Estate,"Hotels, motels",founder and executive chairman,H World Group,True,,,"Shanghai, China",China,M,,,"Bachelor of Engineering, Shanghai Jiao Tong University; Master of Science in Engineering, Shanghai Jiao Tong University"
Jonathan Tisch,70.0,$2.1B,Diversified,"Loews, New York Giants","businessman, Chairperson",Loews Hotels,False,,,"New York, New York",United States,M,Married,2.0,"Bachelor of Arts, Tufts University"
Li Ka-shing,95.0,$37.3B,Diversified,Diversified,Senior Advisor,CK Hutchison Holdings,True,,,"Hong Kong, Hong Kong",Hong Kong,M,Widowed,2.0,"Drop Out, High School"
Matthew Prince,49.0,$3.4B,Technology,Cybersecurity,"business executive, co-founder, executive chairman, and chief executive officer",Cloudflare,True,8.0,,"Park City, Utah",United States,M,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Trinity College Connecticut; Doctor of Jurisprudence, University of Chicago"
Qian Jinghong,51.0,$1.1B,Automotive,Electric scooters,co-founder and vice chairman,Yadea Group,True,,,"Wuxi, China",China,F,Married,,
Radha Vembu,51.0,$3.4B,Technology,Business software,"businesswoman, owner of a majority stake",Zoho Corporation,False,,,"Chennai, India",India,F,Married,1.0,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)"
Chen Shibin,57.0,$2.1B,Manufacturing,Quartz products,"Chairman, President",Jiangsu Pacific Quartz Co Ltd,True,,,"Lianyungang, China",China,M,,,
George Jacob Muthoot,71.0,$1.3B,Finance & Investments,Financial services,Managing director,Muthoot Finance,False,,,"Trivandrum, India",India,M,Married,2.0,"Bachelor of Science in Engineering, Manipal University"
Alain Wertheimer,75.0,$36.8B,Fashion & Retail,Chanel,Chairman,Chanel,False,,,"New York, New York",France,M,Married,3.0,
Tang Yiu,90.0,$2.2B,Fashion & Retail,Fashion retail,"businessman, founder , chairman, president","Belle International ,Federation of Hong Kong Footwear Ltd and , Sam Shui Natives Association",True,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,2.0,
Henry Kravis,80.0,$11.7B,Finance & Investments,Private equity,Co-Chair and Co-CEO,KKR,True,8.0,3.0,"New York, New York",United States,M,Married,2.0,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School"
John Coates,54.0,$4.3B,Gambling & Casinos,Online gambling,Joint CEO,bet365,True,,,"Stoke-On-Trent, United Kingdom",United Kingdom,M,Married,2.0,"Bachelor of Laws, Bristol University"
Yuan Zhongxue,68.0,$1.5B,Manufacturing,Tires,Chairperson,Chinese tire manufacturer Sailun,True,,,"Qingdao, China",China,M,,,
Helena Revoredo,77.0,$1.2B,Service,Security services,chairman,Prosegu,False,,,"Madrid, Spain",Spain,F,Widowed,4.0,"Bachelor of Arts/Science, Catholic University of Buenos Aires; Master of Business Administration, IESE Business School"
