Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
George Prokopiou & family,77.0,$2.6B,Logistics,Shipping,"Greek shipowner, founder","Dynacom Tankers, Sea Traders and Dynagas",True,,,"Monaco, Monaco",Greece,M,Married,4.0,"Bachelor of Science, National Technical University of Athens"
Fang Hongbo,57.0,$1.4B,Manufacturing,Home appliances,CEO,Midea Group,True,,,"Shunde, China",China,M,,,"Bachelor of Arts, East China Normal University, EMBA, National University of Singapore"
Aziz Akhannouch & family,63.0,$1.7B,Diversified,"Petroleum, diversified","businessman, politician,Prime Minister",Morocco,False,,,"Casablanca, Morocco",Morocco,M,Married,3.0,"Master of Business Administration, Universite de Sherbrooke"
Tom Gores,59.0,$9.1B,Finance & Investments,Private equity,Founder,Platinum Equity,True,8.0,1.0,"Beverly Hills, California",United States,M,Married,3.0,"Bachelor of Arts/Science, Michigan State University"
Timothy Springer,76.0,$1.5B,Healthcare,Biotech,Professor,Harvard Medical School.,True,8.0,1.0,"Chestnut Hill, Massachusetts",United States,M,Married,,"Doctorate, Harvard University; Bachelor of Science, University of California, Berkeley"
Paul Fireman,80.0,$1.3B,Fashion & Retail,Reebok,"chairman , CEO","led Reebok International, Ltd",True,,,"Brookline, Massachusetts",United States,M,Married,3.0,
Ronald Clarke,68.0,$1.4B,Technology,payments technology,CEO,FleetCor Technologies,True,,,"Duluth, Georgia",United States,M,Married,2.0,"Bachelor of Arts/Science, Colby College; Master of Business Administration, Cornell University"
Wang Jinhua,60.0,$1.1B,Metals & Mining,metals and mining,Researcher,,True,,,"Hangzhou, China",China,M,,,"Master of Science, China University of Mining and Technology; Bachelor of Science, University of Science and Technology Beijing"
John Tyson & family,70.0,$2.5B,Food & Beverage,Food processing,"CEO,Chairman",Tyson Foods,False,5.0,2.0,"Springdale, Arkansas",United States,M,Single,2.0,"Bachelor of Arts/Science, Southern Methodist University"
Bernhard Braun-Luedicke,47.0,$1.7B,Healthcare,Medical technology,owner,medical device maker B. Braun Melsungen,False,,,"Melsungen, Germany",Germany,M,,,
Krishna Kumar Bangur,63.0,$1.2B,Manufacturing,Graphite electrodes,Chairperson,Graphite India Ltd.,False,,,"Kolkata, India",India,M,Married,3.0,
Jon Yarbrough,66.0,$3.6B,Gambling & Casinos,Video games,founder,Video Gaming Technologies,True,8.0,1.0,"Franklin, Tennessee",United States,M,Married,2.0,"Bachelor of Arts/Science, Tennessee Technological University"
Li Zhongchu,60.0,$1.6B,Technology,Software,"chairman, founder",Beijing Shiji Information Technology,True,,,"Beijing, China",China,M,Married,,"Bachelor of Arts/Science, Wuhan University"
Bhadresh Shah,72.0,$2.6B,Manufacturing,Engineering,founded and runs,AIA Engineering,True,,,"Ahmedabad, India",India,M,Married,2.0,"Bachelor of Science in Engineering, Indian Institute of Technology"
Martin Knauf,,$1B,Manufacturing,building materials,,,False,,,"Berlin, Germany",Germany,M,,,
Ruben Vardanyan & family,55.0,$1.1B,Finance & Investments,Investment banking,,,True,,,"Erevan, Armenia",Armenia,M,Married,4.0,"Master of Science, Moscow State University"
Abdulsamad Rabiu,63.0,$5.2B,Diversified,"Cement, sugar","businessman and philanthropist, chairman , founder and chairman","Nigerian Bank, BUA Group",False,,,"Lagos, Nigeria",Nigeria,M,Married,,"Bachelor of Science, Capital University"
Paul Foster,66.0,$1.6B,Energy,Oil refining,Chairman,Western Refining,True,,,"El Paso, Texas",United States,M,Married,2.0,"Bachelor of Arts/Science, Baylor University"
Xu Wanmao,79.0,$1B,Service,Education,,,True,,,"Ningbo, China",China,M,,,
Andreas Halvorsen,62.0,$7.2B,Finance & Investments,Hedge funds,Investor,Viking Global Investors,True,,,"Darien, Connecticut",Norway,M,Married,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College"
John Brown,89.0,$7.7B,Healthcare,Medical equipment,Founder,Brunonian System Of Medicine,True,6.0,2.0,"Atlanta, Georgia",United States,M,Married,2.0,"Bachelor of Science in Engineering, Auburn University"
Ling Tang,,$1.5B,Media & Entertainment,Mobile games,dancer,,True,,,,Canada,F,,,"Master of Arts, Columbia University, Bachelor of Arts, University of Maryland-College Park"
Art Levinson,74.0,$1.1B,Diversified,"Genentech, Apple",businessman,Chairman of the board of directors of Apple,True,,,"Hillsborough, California",United States,M,,,"Doctorate, Princeton University; Bachelor of Science, University of Washington"
Elizabeth Sy,71.0,$2.1B,Diversified,Diversified,"advisor , Chairperson and President","SM Investments, SM Hotels",False,,,"Manila, Philippines",Philippines,F,,,"Bachelor of Business Administration, Maryknoll College"
Wilma Tisch,96.0,$1.8B,Diversified,Loews,philanthropist,,False,,,"New York, New York",United States,F,Widowed,4.0,"Bachelor of Arts/Science, Skidmore College"
Rajeev Juneja,58.0,$3B,Healthcare,Phamaceuticals,"cofounded , Managing director",Mankind Pharma,True,,,"Delhi, India",India,M,Married,2.0,
Naomi Azrieli,58.0,$1.6B,Real Estate,Real estate,executive director,Azrieli Group,False,,,"Toronto, Canada",Canada,F,,,"Doctor of Philosophy, University of Oxford, Master of International Affairs, Columbia University, Bachelor of Arts, University of Pennsylvania"
Chao Teng-hsiung,79.0,$2.3B,Real Estate,Real estate,Developer,Farglory Group,True,,,"Taipei, Taiwan",Taiwan,M,Married,3.0,
Rajesh Sharma,54.0,$1.7B,Finance & Investments,Finance,actor,indian,False,,,"Mumbai, India",India,M,Married,3.0,"Chartered Accountant, Institute of Chartered Accountants of India"
Bob Parsons,73.0,$3.6B,Technology,Web hosting,"entrepreneur, billionaire, and philanthropist, founded",GoDaddy group of companies,True,10.0,3.0,"Scottsdale, Arizona",United States,M,Married,,"Bachelor of Arts/Science, University of Baltimore"
Hamilton James & family,72.0,$4.1B,Finance & Investments,Investments,Chairman,Costco,True,6.0,2.0,"New York, New York",United States,M,Married,3.0,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
David Hindawi,79.0,$1B,Technology,Software,Executive Chairman,Tanium,True,,,"Seattle, Washington",United States,M,Married,2.0,"Bachelor of Science, Technion–Israel Institute of Technology, Master of Science, Technion–Israel Institute of Technology, Doctor of Philosophy, University of California, Berkeley"
Michael Herz,80.0,$7.9B,Fashion & Retail,Coffee,Owner,Tchibo Holding,False,,,"Hamburg, Germany",Germany,M,Married,,
Roy Mann,45.0,$1.3B,Technology,software,Co-Founder,monday.com,True,,,"Tel Aviv, Israel",Israel,M,In Relationship,,"Bachelor of Arts/Science, Interdisciplinary Center Herzliya, Israel"
Ali Erdemoglu,64.0,$2.5B,Manufacturing,Carpet,"businessman, own over 75%",Merinos Carpet and Dinarsu Carpet.,True,,,"Istanbul, Turkey",Turkey,M,Married,3.0,
Leonard Stern,86.0,$8.1B,Real Estate,Real estate,Chairman and CEO,"Hartz Mountain Industries, Inc.",False,5.0,1.0,"New York, New York",United States,M,Married,3.0,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
Zhou Hongyi,53.0,$2.1B,Technology,Security software,"Chairperson, co-founder, chairman, CEO",Qihoo 360,True,,,"Beijing, China",China,M,Married,,"Bachelor of Science, Xi'an Jiaotong University; Master of Science, Xi'an Jiaotong University"
Dragos Paval,57.0,$2B,Fashion & Retail,Retail,CEO,Dedeman,True,,,"Bacau, Romania",Romania,M,Married,1.0,"Bachelor of Science, Alexandru Ioan Cuza University"
Lina Tombolato,76.0,$1.4B,Finance & Investments,Financial services,former chairman,Italian bank Banca Mediolanum,False,,,"Tombolo, Italy",Italy,F,Widowed,2.0,
Amancio Ortega,88.0,$103B,Fashion & Retail,Zara,"Founder, Former Chairman",Inditex Fashion Group,True,,,"La Coruna, Spain",Spain,M,Married,3.0,
Sandeep Engineer,62.0,$3.6B,Manufacturing,Plastic pipes,"Entrepreneur and Industrialist chemical engineer Founder, Chairman & Managing Director","based in Ahmedabad, Gujarat, Astral Limited",True,,,"Ahmedabad, India",India,M,Married,2.0,"Bachelor of Science, Lalbhai Dalpatbhai College of Engineering"
Lu Xiangyang,61.0,$11.6B,Automotive,"Automobiles, batteries",Co-founder,BYD,True,,,"Guangzhou, China",China,M,Married,,"Bachelor of Science, Central South University"
Ben Silbermann,41.0,$2B,Media & Entertainment,Social media,Co-founder,Pinterest,True,8.0,,"San Francisco, California",United States,M,Married,2.0,"Bachelor of Arts/Science, Yale University"
Ludwig Merckle,59.0,$9.4B,Finance & Investments,Pharmaceuticals,CEO,Merckle Service GmbH,False,,,"Ulm, Germany",Germany,M,Married,2.0,"Bachelor of Science, University of Mannheim"
Gary Friedman,66.0,$1.4B,Fashion & Retail,Furniture retail,"chairman , chief executive officer","home furnishings retailer Restoration Hardware, Inc",True,9.0,,"Belvedere, California",United States,M,Married,2.0,"Drop Out, Santa Rosa Junior College"
Ronald Lauder,80.0,$4.6B,Fashion & Retail,Estee Lauder,Chairman,"Ronald Lauder Foundation and of Clinique Laboratories , World Jewish Congress",False,5.0,3.0,"New York, New York",United States,M,Married,2.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Steven Klinsky,67.0,$3.6B,Finance & Investments,Investments,Founder & CEO,New Mountain Capital,True,7.0,,"New York, New York",United States,M,,,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor"
Werner O. Weber,85.0,$1.2B,Manufacturing,Electronic components,Businessperson,,True,,,"Zurich, Switzerland",Switzerland,M,,,
